Included_in_analysis,ID,avg_response_friend_approached,avg_response_stranger_approached,avg_response_friend_approaching,avg_response_stranger_approaching,Sex_1m_2f,Country,country_1in_2us,age,UCLA,loneliness_L1_H2,covid_loneliness,covid_loneliness_L1_H2,Avg_approached,Avg_Approaching,Avg_Friend,Avg_Stranger,average_response_time_total,Zavg_response_friend_approached,Zavg_response_stranger_approached,Zavg_response_friend_approaching,Zavg_response_stranger_approaching,Zavg_response_total,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV
1,1,2.41,1.94,1.17,1.27,2,1, ,27,51,2,3,1,2.17,1.22,1.79,1.61,1.70,-1.19,-0.33,-2.70,-1.00,-1.31,4,2,1,3,4,3,1,4,3,2,2,3,3,2,2,3,1,4,2,2
1,2,3.42,1.29,3.10,1.14,1,78,1,47,35,1,5,2,2.35,2.12,3.26,1.21,2.24,0.31,-1.06,0.00,-1.15,-0.47,1,2,1,2,2,2,4,1,1,1,1,1,1,1,3,3,1,2,2,3
1,3,3.44,3.10,3.40,3.25,1,187,2,67,35,1,3,1,3.27,3.33,3.42,3.18,3.30,0.35,0.97,0.43,1.21,0.74,2,1,1,1,2,2,1,3,2,2,1,2,3,2,1,2,3,2,1,1
1,4,3.61,2.98,3.59,3.04,2,37, ,29,35,1,3,1,3.29,3.31,3.60,3.01,3.30,0.60,0.83,0.69,0.97,0.77,1,3,2,2,1,1,3,2,1,2,2,2,2,2,1,2,2,2,1,1
1,5,4.00,1.30,3.61,0.93,1,78,1,50,24,1,3,1,2.65,2.27,3.80,1.12,2.46,1.18,-1.05,0.72,-1.38,-0.13,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1
1,6,2.79,1.31,2.72,1.19,2,187,2,27,21,1,3,1,2.05,1.95,2.76,1.25,2.00,-0.62,-1.04,-0.53,-1.09,-0.82,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,7,3.38,0.90,3.71,1.53,2,187,2,48,36,1,4,2,2.14,2.62,3.55,1.22,2.38,0.26,-1.50,0.86,-0.71,-0.27,2,3,2,2,4,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1
0,8,0.73,0.59,0.67,0.57,2,187,2,32,39,1,3,1,0.66,0.62,0.70,0.58,0.64,-3.70,-1.86,-3.39,-1.78,-2.68,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2
1,9,3.46,2.90,3.29,2.50,1,187,2,28,46,2,4,2,3.18,2.90,3.38,2.70,3.04,0.38,0.75,0.27,0.37,0.44,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2
1,10,2.87,0.65,1.99,0.79,2,31, ,41,29,1,4,2,1.76,1.39,2.43,0.72,1.57,-0.50,-1.78,-1.55,-1.54,-1.34,2,1,1,1,3,3,1,1,3,2,1,1,1,1,1,1,2,1,1,1
0,11,1.31,0.72,0.96,0.72,1,187,2,46,73,2,3,1,1.01,0.84,1.13,0.72,0.93,-2.83,-1.71,-2.99,-1.62,-2.29,2,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4
1,12,3.16,2.79,2.98,2.21,1,187,2,49,67,2,3,1,2.98,2.60,3.07,2.50,2.79,-0.07,0.62,-0.16,0.05,0.11,3,3,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3,4,3,3
1,13,3.42,3.46,3.59,3.41,2,187,2,24,34,1,4,2,3.44,3.50,3.51,3.44,3.47,0.32,1.38,0.69,1.39,0.94,1,3,2,2,1,1,2,2,1,1,3,2,2,2,2,1,2,2,1,1
1,14,2.88,2.63,2.84,2.71,2,187,2,31,58,2,3,1,2.76,2.78,2.86,2.67,2.77,-0.49,0.44,-0.36,0.61,0.05,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,4,3,2,2
1,15,2.80,2.04,2.87,1.48,2,187,2,46,54,2,3,1,2.42,2.18,2.84,1.76,2.30,-0.60,-0.21,-0.31,-0.77,-0.47,3,2,3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,4,2,2
1,16,3.51,2.23,3.46,1.98,1,78,1,36,68,2,5,2,2.87,2.72,3.49,2.11,2.80,0.45,-0.01,0.51,-0.21,0.19,3,2,3,4,4,4,4,4,3,4,3,3,4,4,3,4,3,3,3,3
1,17,3.17,2.74,2.46,2.03,1,84, ,44,56,2,4,2,2.96,2.25,2.82,2.39,2.60,-0.06,0.57,-0.89,-0.15,-0.13,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,2,2
0,18,0.50,0.46,0.43,0.45,1,78,1,32,63,2,5,2,0.48,0.44,0.47,0.46,0.46,-4.04,-2.00,-3.73,-1.92,-2.92,4,4,4,4,1,2,4,4,2,4,3,3,4,4,4,3,1,4,2,2
1,19,3.15,1.31,2.70,0.54,2,187,2,41,41,1,2,1,2.23,1.62,2.93,0.93,1.93,-0.09,-1.04,-0.55,-1.82,-0.87,2,2,2,2,3,2,1,2,3,2,3,2,2,2,1,2,4,2,1,1
1,20,3.63,1.35,3.73,0.62,1,187,2,26,44,2,3,1,2.49,2.18,3.68,0.99,2.33,0.63,-1.00,0.89,-1.73,-0.30,2,2,2,2,3,2,1,3,3,2,3,3,2,2,1,2,4,3,1,1
1,21,2.79,1.64,3.20,1.55,2,187,2,39,64,2,4,2,2.22,2.38,3.00,1.60,2.30,-0.62,-0.67,0.15,-0.69,-0.46,2,3,4,4,3,3,4,3,2,3,3,3,4,4,3,3,4,3,3,3
1,22,3.62,0.92,2.82,0.83,1,187,2,45,71,2,5,2,2.27,1.83,3.22,0.88,2.05,0.61,-1.48,-0.38,-1.49,-0.69,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3
1,23,3.55,2.97,3.87,2.74,2,78,1,41,32,1,2,1,3.26,3.31,3.71,2.86,3.28,0.51,0.83,1.09,0.64,0.77,1,2,3,3,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1
1,24,3.77,2.99,3.89,3.33,1,187,2,44,24,1,3,1,3.38,3.61,3.83,3.16,3.50,0.84,0.85,1.12,1.30,1.03,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1
1,25,3.50,2.83,3.30,2.43,1,187,2,42,41,1,4,2,3.17,2.86,3.40,2.63,3.02,0.44,0.67,0.28,0.30,0.42,2,2,2,3,3,3,1,2,3,2,1,1,3,2,1,2,4,2,1,1
1,26,3.30,2.22,3.23,2.32,2,187,2,59,45,2,2,1,2.76,2.78,3.27,2.27,2.77,0.13,-0.02,0.19,0.17,0.12,2,3,1,2,4,2,2,3,2,2,3,1,2,3,3,2,2,4,1,1
1,27,3.51,1.94,3.56,2.10,2,187,2,61,30,1,5,2,2.72,2.83,3.53,2.02,2.78,0.45,-0.34,0.65,-0.08,0.17,1,3,1,3,2,2,1,1,1,2,1,1,1,2,1,1,3,1,1,1
1,28,3.48,3.16,3.50,3.03,1,78,1,56,29,1,1,1,3.32,3.27,3.49,3.09,3.29,0.41,1.04,0.57,0.96,0.75,1,3,1,3,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1
1,29,3.67,2.93,3.20,1.61,1,78,1,33,56,2,3,1,3.30,2.41,3.44,2.27,2.85,0.69,0.78,0.15,-0.62,0.25,2,2,4,2,1,3,2,4,2,3,1,3,4,3,4,3,4,3,3,3
1,30,3.25,2.90,2.82,2.41,1,187,2,47,22,1,3,1,3.08,2.62,3.04,2.66,2.85,0.06,0.75,-0.38,0.27,0.17,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
1,31,3.12,2.34,2.72,2.33,1,187,2,34,44,2,4,2,2.73,2.52,2.92,2.34,2.63,-0.14,0.12,-0.53,0.18,-0.09,2,2,2,1,2,3,3,3,1,3,3,2,2,1,2,2,4,1,3,2
1,32,3.90,2.65,3.75,2.93,1,187,2,41,55,2,5,2,3.27,3.34,3.83,2.79,3.31,1.03,0.46,0.92,0.85,0.82,2,3,2,3,3,3,3,2,2,2,4,2,4,3,3,3,4,3,2,2
1,33,3.28,2.72,3.20,2.74,1,187,2,33,38,1,3,1,3.00,2.97,3.24,2.73,2.98,0.10,0.54,0.15,0.63,0.36,1,2,1,2,1,2,1,3,2,2,2,2,3,3,1,2,3,3,1,1
1,34,3.22,2.97,3.28,2.99,1,78,1,35,30,1,4,2,3.10,3.14,3.25,2.98,3.12,0.02,0.83,0.26,0.92,0.51,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1
1,35,4.00,1.06,4.00,0.68,1,164, ,34,33,1,3,1,2.53,2.34,4.00,0.87,2.44,1.18,-1.32,1.27,-1.66,-0.13,1,1,1,2,1,3,1,2,2,2,2,2,3,1,1,1,3,2,1,1
1,36,3.03,1.11,1.69,1.69,2,187,2,31,56,2,5,2,2.07,1.69,2.36,1.40,1.88,-0.27,-1.27,-1.97,-0.53,-1.01,3,3,3,3,2,1,3,4,2,3,3,4,3,4,2,2,4,3,1,3
1,37,2.97,1.93,3.12,2.46,1,187,2,44,68,2,3,1,2.45,2.79,3.05,2.19,2.62,-0.35,-0.35,0.03,0.33,-0.08,3,4,3,4,4,3,4,4,3,3,4,4,3,4,3,3,4,4,2,2
1,38,3.19,1.25,3.33,0.80,2,187,2,50,55,2,1,1,2.22,2.06,3.26,1.03,2.14,-0.02,-1.10,0.33,-1.53,-0.58,1,2,3,1,4,3,2,2,4,4,2,1,3,2,3,3,4,4,4,3
1,39,3.67,3.72,3.68,3.73,1,187,2,33,43,2,5,2,3.70,3.71,3.68,3.73,3.70,0.69,1.67,0.82,1.74,1.23,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,1,3,2,2,2
1,40,3.89,3.33,4.00,3.43,2,187,2,34,42,2,4,2,3.61,3.72,3.95,3.38,3.66,1.02,1.23,1.27,1.41,1.23,2,3,3,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2
1,41,4.00,1.36,4.00,1.21,2,78,1,44,31,1,4,2,2.68,2.61,4.00,1.29,2.64,1.18,-0.98,1.27,-1.07,0.10,1,3,2,3,1,1,1,1,1,2,1,1,2,1,3,2,2,1,1,1
1,42,2.45,1.75,1.97,1.71,2,187,2,39,49,2,3,1,2.10,1.84,2.21,1.73,1.97,-1.13,-0.55,-1.58,-0.51,-0.94,2,3,2,2,2,3,2,4,1,3,2,3,2,2,3,4,2,2,3,2
1,43,3.29,2.39,2.94,1.93,2,187,2,61,26,1,3,1,2.84,2.43,3.11,2.16,2.64,0.12,0.17,-0.22,-0.26,-0.05,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1
1,44,2.99,1.56,2.91,1.24,2,187,2,68,31,1,4,2,2.28,2.08,2.95,1.40,2.18,-0.33,-0.76,-0.26,-1.04,-0.59,2,3,1,2,1,1,1,2,2,1,2,1,1,2,1,2,3,1,1,1
1,45,3.49,2.39,3.23,2.06,2,187,2,60,37,1,4,2,2.94,2.65,3.36,2.23,2.79,0.42,0.17,0.19,-0.12,0.17,2,3,2,2,1,2,1,2,2,2,2,1,2,2,2,2,3,2,1,1
1,46,3.66,2.31,3.49,1.87,2,187,2,33,46,2,3,1,2.98,2.68,3.57,2.09,2.83,0.67,0.08,0.55,-0.34,0.24,2,2,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2
1,47,3.27,2.02,3.43,2.26,2,187,2,52,42,2,2,1,2.64,2.85,3.35,2.14,2.75,0.09,-0.24,0.47,0.11,0.11,1,2,2,3,2,2,2,3,1,2,3,3,3,3,1,1,3,3,1,1
1,48,3.38,2.57,3.12,2.54,1,187,2,68,56,2,4,2,2.98,2.83,3.25,2.56,2.90,0.26,0.38,0.04,0.42,0.27,2,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,2
1,49,3.30,2.71,3.31,2.67,1,187,2,42,49,2,4,2,3.01,2.99,3.31,2.69,3.00,0.14,0.54,0.30,0.56,0.38,2,3,2,2,2,2,4,4,2,2,4,2,3,2,1,3,2,4,1,2
1,50,3.31,2.71,3.47,2.68,1,187,2,42,44,2,3,1,3.01,3.08,3.39,2.70,3.04,0.15,0.53,0.53,0.57,0.45,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,1,2
1,51,3.23,2.51,3.10,2.45,2,187,2,42,43,2,3,1,2.87,2.78,3.17,2.48,2.82,0.03,0.31,0.01,0.32,0.17,2,1,2,1,2,3,2,3,3,2,1,3,4,1,2,2,2,3,2,2
0,52,0.80,0.63,0.93,0.57,2,187,2,41,55,2,5,2,0.72,0.75,0.86,0.60,0.73,-3.59,-1.80,-3.03,-1.78,-2.55,2,4,3,4,3,2,3,3,2,2,2,3,3,4,2,2,4,3,2,2
1,53,2.88,1.62,1.11,1.27,2,78,1,31,53,2,4,2,2.25,1.19,1.99,1.44,1.72,-0.49,-0.69,-2.79,-1.01,-1.24,2,4,4,4,4,1,1,4,1,4,3,2,2,3,3,4,3,2,1,1
1,54,2.84,1.79,2.94,1.37,2,78,1,57,57,2,3,1,2.32,2.16,2.89,1.58,2.24,-0.55,-0.50,-0.21,-0.89,-0.54,2,3,3,4,2,2,2,3,3,2,3,3,4,3,3,3,4,4,2,2
1,55,3.33,2.72,3.35,2.80,1,78,1,52,63,2,4,2,3.02,3.07,3.34,2.76,3.05,0.17,0.54,0.36,0.70,0.44,3,4,3,3,3,3,3,4,3,3,4,4,4,4,3,2,3,3,2,2
1,56,2.70,2.09,2.79,2.27,2,187,2,60,71,2,1,1,2.40,2.53,2.75,2.18,2.46,-0.76,-0.16,-0.43,0.11,-0.31,3,4,2,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,3
1,57,3.72,3.04,3.55,3.07,2,187,2,58,44,2,3,1,3.38,3.31,3.63,3.06,3.34,0.76,0.91,0.63,1.01,0.83,2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,1,3,2,2
1,58,1.26,1.33,1.53,1.52,1,187,2,36,27,1,3,1,1.30,1.53,1.39,1.43,1.41,-2.91,-1.01,-2.19,-0.72,-1.71,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1
1,59,3.46,2.70,3.67,2.81,2,187,2,32,25,1,3,1,3.08,3.24,3.57,2.75,3.16,0.38,0.52,0.81,0.71,0.60,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1
1,60,3.22,1.47,3.28,1.37,1,187,2,33,37,1,2,1,2.34,2.33,3.25,1.42,2.34,0.01,-0.86,0.27,-0.89,-0.37,2,2,3,3,1,1,2,1,1,1,2,2,3,1,2,2,1,3,2,2
1,61,3.14,1.72,3.18,1.87,2,187,2,52,68,2,5,2,2.43,2.53,3.16,1.79,2.48,-0.11,-0.58,0.13,-0.33,-0.23,3,4,4,4,3,3,4,3,2,3,4,4,4,4,3,3,3,4,3,3
1,62,3.46,2.53,3.14,1.72,1,187,2,29,40,1,4,2,3.00,2.43,3.30,2.13,2.71,0.37,0.34,0.07,-0.50,0.07,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2
1,63,3.73,2.83,3.35,2.86,2,187,2,63,41,1,4,2,3.28,3.10,3.54,2.84,3.19,0.77,0.67,0.36,0.77,0.64,1,2,3,3,2,2,2,3,1,1,3,3,3,2,1,2,3,2,1,1
1,64,3.51,3.20,3.60,3.17,2,187,2,59,31,1,3,1,3.36,3.38,3.56,3.18,3.37,0.46,1.09,0.70,1.11,0.84,1,2,1,2,1,1,1,2,2,1,3,3,3,1,1,1,2,1,1,1
1,65,2.99,1.70,3.06,1.58,1,172, ,53,36,1,3,1,2.35,2.32,3.03,1.64,2.33,-0.33,-0.60,-0.05,-0.66,-0.41,2,2,1,2,3,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1
1,66,4.00,4.00,3.32,2.29,2,78,1,31,53,2,4,2,4.00,2.81,3.66,3.15,3.40,1.18,1.99,0.32,0.14,0.91,2,3,4,3,2,2,4,3,3,2,4,4,2,3,1,1,3,4,2,1
1,67,3.52,1.73,3.34,1.75,1,78,1,53,48,2,2,1,2.63,2.55,3.43,1.74,2.59,0.46,-0.57,0.34,-0.47,-0.06,2,3,3,2,3,2,2,3,1,3,3,3,1,2,3,2,1,3,3,3
1,68,3.70,3.34,3.75,3.51,1,78,1,42,48,2,3,1,3.52,3.63,3.73,3.43,3.58,0.73,1.24,0.92,1.50,1.10,2,4,2,3,2,3,1,2,1,2,2,2,3,4,4,3,3,3,1,1
1,69,4.00,4.00,4.00,4.00,1,187,2,29,36,1,4,2,4.00,4.00,4.00,4.00,4.00,1.18,1.99,1.27,2.05,1.62,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,1,1
1,70,3.12,2.43,3.20,1.23,2,187,2,28,46,2,5,2,2.78,2.22,3.16,1.83,2.50,-0.13,0.22,0.15,-1.05,-0.20,2,2,2,3,3,2,2,3,1,2,4,2,3,2,1,3,2,3,2,2
1,71,2.94,1.14,2.53,2.43,2,187,2,29,32,1,3,1,2.04,2.48,2.74,1.79,2.26,-0.40,-1.23,-0.79,0.29,-0.53,2,2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,2,1,2
1,72,3.11,1.87,3.09,1.54,1,187,2,40,42,2,4,2,2.49,2.32,3.10,1.71,2.40,-0.15,-0.41,-0.01,-0.70,-0.32,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,3,2,3,2,2
1,73,2.28,2.03,1.65,1.70,1,187,2,27,43,2,4,2,2.16,1.68,1.97,1.87,1.92,-1.38,-0.23,-2.02,-0.52,-1.04,2,3,4,3,2,1,2,1,2,1,2,2,3,2,3,2,2,1,2,3
1,74,3.74,3.41,3.76,3.34,1,187,2,32,48,2,4,2,3.58,3.55,3.75,3.38,3.56,0.79,1.32,0.93,1.31,1.09,2,4,1,3,4,3,1,2,2,2,4,1,2,3,3,2,3,4,1,1
1,75,4.00,1.88,2.77,3.47,2,187,2,37,69,2,5,2,2.94,3.12,3.39,2.67,3.03,1.18,-0.40,-0.45,1.45,0.44,3,3,3,4,4,3,4,4,3,2,4,3,4,4,3,4,4,4,3,3
1,76,3.84,3.11,3.59,3.28,2,187,2,39,33,1,4,2,3.48,3.44,3.72,3.20,3.46,0.94,0.99,0.69,1.24,0.97,1,2,1,3,2,2,1,1,2,2,1,1,1,3,2,1,4,1,1,1
1,77,3.26,2.57,3.04,2.14,2,187,2,32,43,2,4,2,2.91,2.59,3.15,2.36,2.75,0.07,0.37,-0.08,-0.03,0.09,1,2,2,2,2,2,3,2,2,2,3,2,2,3,2,2,4,3,1,1
1,78,3.52,3.37,3.48,3.27,1,187,2,45,24,1,3,1,3.45,3.38,3.50,3.32,3.41,0.46,1.28,0.54,1.23,0.88,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
1,79,3.81,2.51,3.44,2.92,2,78,1,32,26,1,4,2,3.16,3.18,3.63,2.72,3.17,0.90,0.31,0.48,0.84,0.63,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,2
1,80,3.70,3.15,2.96,2.18,2,187,2,39,30,1,4,2,3.42,2.57,3.33,2.66,3.00,0.73,1.03,-0.19,0.01,0.39,2,4,1,2,1,1,1,1,2,1,2,1,1,1,1,1,3,2,1,1
1,81,3.66,2.38,3.31,2.41,2,187,2,59,38,1,2,1,3.02,2.86,3.49,2.40,2.94,0.68,0.16,0.30,0.27,0.35,2,2,3,1,1,2,2,3,1,2,1,1,3,3,2,1,2,3,1,2
1,82,3.36,2.33,3.37,2.28,1,173, ,42,41,1,4,2,2.85,2.82,3.36,2.30,2.83,0.23,0.11,0.38,0.12,0.21,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2,2,4,2,2,2
1,83,3.47,2.84,3.64,2.89,1,187,2,55,28,1,3,1,3.16,3.27,3.56,2.87,3.21,0.39,0.68,0.76,0.81,0.66,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,3,1,1,1
1,84,3.55,1.72,3.43,1.82,1,187,2,35,68,2,3,1,2.64,2.62,3.49,1.77,2.63,0.51,-0.58,0.47,-0.39,0.00,3,3,3,4,3,3,4,4,3,3,3,4,4,4,3,3,4,4,3,3
1,85,2.00,0.39,2.00,0.61,2,187,2,45,27,1,3,1,1.19,1.31,2.00,0.50,1.25,-1.81,-2.07,-1.53,-1.74,-1.79,1,2,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1,86,3.54,2.85,3.53,2.73,1,187,2,58,28,1,3,1,3.20,3.13,3.54,2.79,3.16,0.49,0.69,0.61,0.63,0.61,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1
1,87,3.04,1.90,3.03,2.04,1,187,2,39,67,2,3,1,2.47,2.54,3.04,1.97,2.50,-0.25,-0.38,-0.09,-0.14,-0.22,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,4,3,3,3
1,88,3.50,3.01,3.56,2.97,2,187,2,54,40,1,4,2,3.26,3.27,3.53,2.99,3.26,0.43,0.87,0.65,0.90,0.71,1,4,3,3,2,1,2,3,1,2,1,2,2,3,1,2,3,2,1,1
1,89,3.24,3.03,3.22,2.88,2,187,2,43,56,2,5,2,3.14,3.05,3.23,2.96,3.09,0.05,0.90,0.18,0.80,0.48,2,3,2,4,2,3,3,4,2,3,3,4,4,4,2,3,2,3,1,2
1,90,3.14,0.51,2.77,0.60,1,78,1,39,24,1,2,1,1.83,1.69,2.96,0.56,1.76,-0.10,-1.94,-0.45,-1.75,-1.06,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
1,91,2.88,1.60,3.13,1.46,2,187,2,40,37,1,1,1,2.24,2.29,3.00,1.53,2.27,-0.49,-0.71,0.05,-0.79,-0.49,2,2,1,2,4,2,2,4,2,1,3,1,1,1,1,1,3,1,2,1
1,92,3.66,3.30,3.75,3.16,1,187,2,48,56,2,4,2,3.48,3.46,3.71,3.23,3.47,0.68,1.20,0.92,1.11,0.98,2,4,3,4,2,2,3,3,2,2,3,2,3,3,3,2,4,3,3,3
1,93,3.28,2.61,3.48,3.01,1,187,2,41,31,1,3,1,2.94,3.24,3.38,2.81,3.09,0.10,0.42,0.53,0.94,0.50,2,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,2,2,1,1
1,94,3.50,3.19,3.38,2.85,2,187,2,53,49,2,4,2,3.35,3.12,3.44,3.02,3.23,0.43,1.08,0.41,0.76,0.67,2,3,3,3,3,3,3,4,1,2,2,3,2,3,2,2,1,3,2,2
1,95,3.71,2.93,3.51,3.14,2,187,2,35,43,2,3,1,3.32,3.33,3.61,3.03,3.32,0.75,0.78,0.58,1.09,0.80,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
1,96,3.30,2.60,2.98,2.20,2,187,2,71,31,1,3,1,2.95,2.59,3.14,2.40,2.77,0.13,0.41,-0.16,0.03,0.10,2,2,1,1,3,1,1,1,1,1,2,1,2,2,1,1,4,2,1,1
1,97,3.44,2.92,3.36,2.49,1,187,2,44,51,2,3,1,3.18,2.92,3.40,2.70,3.05,0.35,0.77,0.37,0.36,0.46,3,2,3,2,3,3,3,3,3,2,2,2,3,2,2,3,3,3,2,2
